iter	Passed	Remaining
0	59	59127
1	59	29654
2	59	19838
3	59	14919
4	60	11967
5	60	10001
6	60	8597
7	60	7545
8	61	6732
9	61	6075
10	61	5537
11	61	5088
12	62	4708
13	62	4383
14	62	4100
15	62	3853
16	62	3635
17	63	3440
18	63	3267
19	63	3111
20	63	2970
21	63	2841
22	64	2724
23	64	2617
24	64	2518
25	64	2427
26	65	2342
27	65	2263
28	65	2190
29	65	2122
30	65	2057
31	66	1998
32	66	1941
33	66	1888
34	66	1838
35	66	1790
36	67	1746
37	67	1703
38	67	1663
39	67	1625
40	67	1588
41	68	1556
42	68	1524
43	68	1492
44	68	1462
45	69	1433
46	69	1405
47	69	1378
48	69	1353
49	69	1329
50	70	1305
51	70	1282
52	70	1260
53	70	1239
54	70	1219
55	71	1199
56	71	1180
57	71	1161
58	71	1144
59	71	1127
60	72	1110
61	72	1094
62	72	1079
63	72	1064
64	72	1049
65	73	1035
66	73	1021
67	73	1008
68	73	995
69	73	982
70	74	970
71	74	958
72	74	946
73	74	935
74	74	924
75	75	913
76	75	903
77	75	893
78	75	883
79	75	873
80	76	863
81	76	854
82	76	844
83	76	835
84	76	827
85	77	818
86	77	810
87	77	802
88	77	794
89	77	786
90	78	779
91	78	771
92	78	764
93	78	757
94	78	750
95	78	743
96	79	737
97	79	730
98	79	724
99	79	717
100	79	711
101	80	705
102	80	699
103	80	693
104	80	688
105	80	682
106	81	677
107	81	671
108	81	666
109	81	661
110	81	656
111	82	651
112	82	645
113	82	641
114	82	636
115	82	632
116	83	627
117	83	622
118	83	617
119	83	613
120	83	609
121	84	604
122	84	600
123	84	596
124	84	592
125	84	588
126	84	583
127	85	580
128	85	576
129	85	572
130	85	568
131	85	565
132	86	561
133	86	558
134	86	554
135	86	551
136	86	547
137	87	544
138	87	541
139	87	537
140	87	534
141	87	530
142	88	527
143	88	524
144	88	521
145	88	518
146	88	515
147	89	512
148	89	509
149	89	506
150	89	503
151	89	500
152	89	498
153	90	495
154	90	492
155	90	489
156	90	487
157	90	484
158	91	481
159	91	479
160	91	476
161	91	473
162	91	471
163	92	469
164	92	466
165	92	464
166	92	461
167	92	459
168	93	457
169	93	454
170	93	452
171	93	450
172	93	448
173	93	445
174	94	443
175	94	441
176	94	439
177	94	437
178	94	435
179	95	433
180	95	431
181	95	429
182	95	427
183	95	425
184	96	423
185	96	421
186	96	419
187	96	417
188	96	415
189	97	413
190	97	411
191	97	409
192	97	407
193	97	406
194	97	404
195	98	402
196	98	400
197	98	399
198	98	397
199	98	395
200	99	394
201	99	392
202	99	391
203	99	389
204	100	387
205	100	386
206	100	384
207	100	383
208	100	381
209	101	380
210	101	378
211	101	377
212	101	375
213	101	374
214	102	372
215	102	371
216	102	370
217	102	368
218	102	367
219	103	365
220	103	364
221	103	362
222	103	361
223	103	360
224	104	358
225	104	357
226	104	355
227	104	354
228	104	353
229	105	351
230	105	350
231	105	349
232	105	347
233	105	346
234	106	345
235	106	343
236	106	342
237	106	341
238	106	340
239	107	338
240	107	337
241	107	336
242	107	335
243	107	334
244	107	332
245	108	331
246	108	330
247	108	329
248	108	328
249	109	327
250	109	325
251	109	324
252	109	323
253	109	322
254	109	321
255	110	320
256	110	319
257	110	317
258	110	316
259	110	315
260	111	314
261	111	313
262	111	312
263	111	311
264	111	310
265	112	309
266	112	308
267	112	307
268	112	306
269	112	305
270	113	304
271	113	303
272	113	302
273	113	301
274	113	300
275	114	299
276	114	298
277	114	297
278	114	296
279	114	295
280	115	294
281	115	293
282	115	293
283	115	292
284	116	291
285	116	290
286	116	289
287	116	288
288	116	287
289	117	286
290	117	285
291	117	284
292	117	283
293	117	282
294	118	282
295	118	281
296	118	280
297	118	279
298	118	278
299	119	277
300	119	276
301	119	276
302	119	275
303	119	274
304	120	273
305	120	272
306	120	271
307	120	270
308	120	270
309	120	269
310	121	268
311	121	267
312	121	266
313	121	265
314	121	265
315	122	264
316	122	263
317	122	262
318	122	262
319	122	261
320	123	260
321	123	259
322	123	258
323	123	258
324	124	257
325	124	256
326	124	256
327	124	255
328	124	254
329	124	253
330	125	252
331	125	252
332	125	251
333	125	250
334	125	249
335	126	249
336	126	248
337	126	247
338	126	247
339	126	246
340	127	245
341	127	244
342	127	244
343	127	243
344	127	242
345	128	241
346	128	241
347	128	240
348	128	239
349	128	239
350	128	238
351	129	237
352	129	237
353	129	236
354	129	235
355	129	235
356	130	234
357	130	233
358	130	233
359	130	232
360	130	231
361	131	231
362	131	230
363	131	229
364	131	229
365	131	228
366	132	227
367	132	227
368	132	226
369	132	225
370	132	225
371	133	224
372	133	224
373	133	223
374	133	223
375	134	222
376	134	221
377	134	221
378	134	220
379	134	219
380	134	219
381	135	218
382	135	218
383	135	217
384	135	216
385	135	216
386	136	215
387	136	215
388	136	214
389	136	213
390	136	213
391	137	212
392	137	211
393	137	211
394	137	210
395	137	210
396	138	209
397	138	209
398	138	208
399	138	208
400	138	207
401	139	206
402	139	206
403	139	205
404	139	205
405	139	204
406	140	204
407	140	203
408	140	203
409	140	202
410	140	201
411	141	201
412	141	200
413	141	200
414	141	199
415	141	199
416	142	198
417	142	198
418	142	197
419	142	197
420	142	196
421	143	196
422	143	195
423	143	194
424	143	194
425	143	193
426	144	193
427	144	192
428	144	192
429	144	191
430	144	191
431	145	190
432	145	190
433	145	189
434	145	189
435	145	188
436	146	188
437	146	187
438	146	187
439	146	186
440	146	186
441	147	185
442	147	185
443	147	184
444	147	184
445	147	183
446	148	183
447	148	182
448	148	182
449	148	181
450	148	181
451	149	180
452	149	180
453	149	179
454	149	179
455	149	178
456	150	178
457	150	177
458	150	177
459	150	176
460	150	176
461	151	175
462	151	175
463	151	174
464	151	174
465	151	173
466	152	173
467	152	173
468	152	172
469	152	172
470	152	171
471	153	171
472	153	170
473	153	170
474	153	169
475	153	169
476	154	168
477	154	168
478	154	168
479	154	167
480	154	167
481	155	166
482	155	166
483	155	165
484	155	165
485	155	164
486	156	164
487	156	163
488	156	163
489	156	163
490	156	162
491	157	162
492	157	161
493	157	161
494	157	160
495	157	160
496	157	159
497	158	159
498	158	158
499	158	158
500	158	158
501	158	157
502	159	157
503	159	156
504	159	156
505	159	155
506	159	155
507	160	155
508	160	154
509	160	154
510	160	153
511	160	153
512	161	152
513	161	152
514	161	152
515	161	151
516	161	151
517	162	150
518	162	150
519	162	149
520	162	149
521	162	149
522	163	148
523	163	148
524	163	147
525	163	147
526	163	147
527	164	146
528	164	146
